Trace_Name,SSD_ID,Submitted_SubRequests,Completed_SubRequests,Submitted_Read_Sectors,Submitted_Write_Sectors,Attributed_Host_Write_Sectors,WAM_Host_Write_Sectors,WAM_Migration_Write_Sectors,WAM_Cumulative_Write_Sectors,Average_SubRequest_Latency_us,Bad_Block_Count,Pending_Retirement_Count,OP_Consumed_Block_Count,OP_Spare_Block_Limit,Current_Effective_OP_Ratio,EOL_Triggered,EOL_Time_ns,EOL_Bad_Block_Count,EOL_Effective_OP_Ratio,Min_Block_Erase_Count,Max_Block_Erase_Count,Total_Block_Erase_Count,Avg_Block_Erase_Count,StdDev_Block_Erase_Count,Flash_Page_Program_Count,Flash_Page_Erase_Count,Logical_Host_Write_Bytes_Attributed,Approx_Flash_Programmed_Bytes,Approx_Flash_Write_Amplification
prxy_0,2,891192,891192,2280880,24979068,24979068,24979068,0,24979068,1037.418049,0,0,0,6554,0.200012,false,0,0,0.000000,0,0,0,0.000000,0.000000,1941443,0,12789282816,15904301056,1.243565
prxy_0,3,2695659,2695659,1630081,27339000,27339000,27339000,0,27339000,945.543031,0,0,0,6554,0.200012,false,0,0,0.000000,0,2,1487,0.045380,0.220938,3785226,1487,13997568000,31008571392,2.215283
prxy_0_compact,0,5845548,5845548,1073586,33956586,33956586,33956586,0,33956586,972.609474,0,0,0,6554,0.200012,false,0,0,0.000000,0,11,5683,0.173431,0.629122,7011900,5683,17385772032,57441484800,3.303936
prxy_0_compact,1,3291360,3291360,1581186,27115084,27115084,27115084,0,27115084,966.411693,0,0,0,6554,0.200012,false,0,0,0.000000,0,5,3690,0.112610,0.474009,4313142,3690,13882923008,35333259264,2.545088
prxy_0_compact,2,861900,861900,2104225,24410475,24410475,24410475,0,24410475,1041.293712,0,0,0,6554,0.200012,false,0,0,0.000000,0,0,0,0.000000,0.000000,1889512,0,12498163200,15478882304,1.238493
prxy_0_compact,3,2695659,2695659,1630081,27339000,27339000,27339000,0,27339000,945.481362,0,0,0,6554,0.200012,false,0,0,0.000000,0,2,1473,0.044952,0.223906,3785227,1473,13997568000,31008579584,2.215283
prxy_0_compact2,0,5850906,5850906,963899,33929630,33929630,33929630,0,33929630,974.348857,0,0,0,6554,0.200012,false,0,0,0.000000,0,12,4678,0.142761,0.588799,7015030,4678,17371970560,57467125760,3.308037
prxy_0_compact2,1,3291360,3291360,1581186,27115084,27115084,27115084,0,27115084,966.355824,0,0,0,6554,0.200012,false,0,0,0.000000,0,5,3661,0.111725,0.473349,4313139,3661,13882923008,35333234688,2.545086
prxy_0_compact2,2,856542,856542,2213912,24437431,24437431,24437431,0,24437431,1024.712807,0,0,0,6554,0.200012,false,0,0,0.000000,0,0,0,0.000000,0.000000,1886384,0,12511964672,15453257728,1.235078
prxy_0_compact2,3,2695659,2695659,1630081,27339000,27339000,27339000,0,27339000,945.527496,0,0,0,6554,0.200012,false,0,0,0.000000,0,2,1488,0.045410,0.222240,3785225,1488,13997568000,31008563200,2.215282
rsrch_1,0,5602,5602,362,105007,105007,105007,0,105007,887.181920,0,0,0,6554,0.200012,false,0,0,0.000000,0,0,0,0.000000,0.000000,9329,0,53763584,76423168,1.421467
rsrch_1,1,2891,2891,501,74180,74180,74180,4096,78276,893.843893,0,0,0,6554,0.200012,false,0,0,0.000000,0,0,0,0.000000,0.000000,6283,0,37980160,51470336,1.355190
rsrch_1,2,2827,2827,220,77136,77136,77136,4096,81232,889.786174,0,0,0,6554,0.200012,false,0,0,0.000000,0,0,0,0.000000,0.000000,6472,0,39493632,53018624,1.342460
rsrch_1,3,2920,2920,27,78074,78074,78074,4096,82170,899.888529,0,0,0,6554,0.200012,false,0,0,0.000000,0,0,0,0.000000,0.000000,6569,0,39973888,53813248,1.346210
